date,platform,country,competitor,store_id_or_url,keyword,organic_rank,apple_ads_bid_keyword,source,availability,note
2026-08-03,Apple App Store,US,HoloDex - TCG Scan & Collect,https://apps.apple.com/us/app/holodex-tcg-scan-collect/id6747442689,unknown,,,Public Apple App Store listing verification; Qimai/MobileAction current export unavailable,unavailable,"Listing is visible in US store. No current, exportable US-English keyword-rank or Apple Ads bid-keyword data was provided or accessible."
2026-08-03,Google Play,US,HoloDex - TCG Scan & Collect,https://play.google.com/store/apps/details?id=com.getholodex.app,unknown,,,Public Google Play listing verification; Qimai/MobileAction current export unavailable,unavailable,"Listing is visible. No current, exportable US-English keyword-rank data was provided or accessible; Apple Ads does not apply to Google Play."
2026-08-03,Apple App Store,US,Card Grader Pro,https://apps.apple.com/us/app/card-grader-pro/id6743489803,unknown,,,Public Apple App Store listing verification; Qimai/MobileAction current export unavailable,unavailable,"Listing is visible in US store. No current, exportable US-English keyword-rank or Apple Ads bid-keyword data was provided or accessible."
2026-08-03,Google Play,US,Card Grader Pro,https://play.google.com/store/apps/details?id=com.danielyaakob.packFresh,unknown,,,Public Google Play listing verification; Qimai/MobileAction current export unavailable,unavailable,"Listing is visible. This resolves the prior unknown store URL only; no current, exportable US-English keyword-rank data was provided or accessible; Apple Ads does not apply to Google Play."
2026-08-03,Apple App Store,US,Binder AI: Card Grading Tool,https://apps.apple.com/us/app/binder-ai-card-grading-tool/id6744124434,unknown,,,Public Apple App Store listing verification; Qimai/MobileAction current export unavailable,unavailable,"Listing is visible in US store. Adjacent competitor: its stated AI card condition analysis and pre-submission use case overlap DEDC's pre-grading workflow. No current keyword-rank or Apple Ads bid-keyword data was accessible."
2026-08-03,Google Play,US,Binder AI: Card Grading Tool,https://play.google.com/store/apps/details?id=com.globaldominance.binder,unknown,,,Public Google Play listing verification; Qimai/MobileAction current export unavailable,unavailable,"Listing is visible. Adjacent competitor: its stated AI card condition analysis and pre-submission use case overlap DEDC's pre-grading workflow. No current keyword-rank data was accessible; Apple Ads does not apply to Google Play."
2026-08-03,Apple App Store,US,ZeroPop: AI Card Grader,https://apps.apple.com/us/app/zeropop-ai-card-grader/id6760512726,unknown,,,Public Apple App Store listing discovery; Qimai/MobileAction current export unavailable,unavailable,"New observation. Direct competitor: the listing describes AI pre-grades with centering, corners, edges, and surface sub-grades before professional submission. No current keyword-rank or Apple Ads bid-keyword data was accessible."
2026-08-03,Google Play,US,ZeroPop: Card Grader & Scanner,https://play.google.com/store/apps/details?hl=en_US&id=com.zeropop.app,unknown,,,Public Google Play listing discovery; Qimai/MobileAction current export unavailable,unavailable,"New observation. Direct competitor: the listing describes AI pre-grades with centering, corners, edges, and surface sub-grades before professional submission. No current keyword-rank data was accessible; Apple Ads does not apply to Google Play."
2026-07-31,Apple App Store,US,HoloDex - TCG Scan & Collect,https://apps.apple.com/us/app/holodex-tcg-scan-collect/id6747442689,unknown,,,Qimai/MobileAction export unavailable; public App Store listing used only for store-presence verification,unavailable,"No current, exportable US-English keyword-rank or Apple Ads bid-keyword data was provided or accessible."
2026-07-31,Google Play,US,HoloDex - TCG Scan & Collect,https://play.google.com/store/apps/details?id=com.getholodex.app,unknown,,,Qimai/MobileAction export unavailable; public Google Play listing used only for store-presence verification,unavailable,"No current, exportable US-English keyword-rank data was provided or accessible; Apple Ads does not apply to Google Play."
2026-07-31,Apple App Store,US,Card Grader Pro,https://apps.apple.com/us/app/card-grader-pro/id6743489803,unknown,,,Qimai/MobileAction export unavailable; public App Store listing used only for store-presence verification,unavailable,"No current, exportable US-English keyword-rank or Apple Ads bid-keyword data was provided or accessible."
2026-07-31,Google Play,US,Card Grader Pro,unknown,unknown,,,Qimai/MobileAction export unavailable; no verifiable US Google Play listing found in this run,unknown,"Google Play availability and package name are unknown; this is not evidence of absence. No current keyword-rank data was accessible."
2026-07-31,Apple App Store,US,Binder AI: Card Grading Tool,https://apps.apple.com/us/app/binder-ai-card-grading-tool/id6744124434,unknown,,,Qimai/MobileAction export unavailable; public App Store listing used only for store-presence verification,unavailable,"New observation. Its stated AI card condition analysis and pre-submission use case make it an adjacent competitor; no current keyword-rank or Apple Ads bid-keyword data was accessible."
2026-07-31,Google Play,US,Binder AI: Card Grading Tool,https://play.google.com/store/apps/details?id=com.globaldominance.binder,unknown,,,Qimai/MobileAction export unavailable; public Google Play listing used only for store-presence verification,unavailable,"New observation. Its stated AI card condition analysis and pre-submission use case make it an adjacent competitor; no current keyword-rank data was accessible; Apple Ads does not apply to Google Play."
2026-07-27,Apple App Store,US,HoloDex - TCG Scan & Collect,https://apps.apple.com/us/app/holodex-tcg-scan-collect/id6747442689,card scanner,9,,HoloDex ASM export 2026-07-27 (user-provided third-party export),available,"Explicit 搜索自然排名. The reported 3 bidding apps and 33% bidding share are market-level fields, not HoloDex bid evidence."
2026-07-27,Apple App Store,US,HoloDex - TCG Scan & Collect,https://apps.apple.com/us/app/holodex-tcg-scan-collect/id6747442689,pokemon card scanner,5,,HoloDex ASM export 2026-07-27 (user-provided third-party export),available,"Explicit 搜索自然排名. The reported 1 bidding app and 100% bidding share are market-level fields, not HoloDex bid evidence."
2026-07-27,Apple App Store,US,HoloDex - TCG Scan & Collect,https://apps.apple.com/us/app/holodex-tcg-scan-collect/id6747442689,grading,3,,HoloDex ASM export 2026-07-27 (user-provided third-party export),available,"Explicit 搜索自然排名. The reported 2 bidding apps and 50% bidding share are market-level fields, not HoloDex bid evidence."
